S N Datta,Magnetic molecules,A computational study of organic molecules which exhibit magnetism,"CPI > 8

A good understanding of chemical bonding"
S N Datta,Aspects of photosynthesis,Computational study of the processes involved in photosynthesis,"CPI > 8

A good understanding of chemical bonding."
K P Kaliappan,Training in Synthetic Organic Chemistry,"As the title suggests, it would be a training in organic synthesis involving the preparation of ",
Pradeepkumar P I ,DNA and enzymes,Involves computational or experimental study of DNA and enzymes,
